, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets, cibil_category
0,2, Graduate, No,9600000,29900000,12,778, Approved,30700000,20000000,Excellent
1,0, Not Graduate, Yes,4100000,12200000,8,417, Rejected,12100000,4900000,Poor
2,3, Graduate, No,9100000,29700000,20,506, Rejected,46100000,11600000,Poor
3,3, Graduate, No,8200000,30700000,8,467, Rejected,31200000,21500000,Poor
4,5, Not Graduate, Yes,9800000,24200000,20,382, Rejected,34400000,20600000,Poor
5,0, Graduate, Yes,4800000,13500000,10,319, Rejected,18800000,15100000,Poor
6,5, Graduate, No,8700000,33000000,4,678, Approved,33500000,37300000,Good
7,2, Graduate, Yes,5700000,15000000,20,382, Rejected,17800000,18900000,Poor
8,0, Graduate, Yes,800000,2200000,20,782, Approved,3400000,2100000,Excellent
9,5, Not Graduate, No,1100000,4300000,10,388, Rejected,4900000,4600000,Poor
10,4, Graduate, Yes,2900000,11200000,2,547, Approved,12600000,12800000,Poor
11,2, Not Graduate, Yes,6700000,22700000,18,538, Rejected,26800000,21100000,Poor
12,3, Not Graduate, Yes,5000000,11600000,16,311, Rejected,18900000,16000000,Poor
13,2, Graduate, Yes,9100000,31500000,14,679, Approved,25900000,27400000,Good
14,1, Not Graduate, No,1900000,7400000,6,469, Rejected,7800000,3100000,Poor
15,5, Not Graduate, No,4700000,10700000,10,794, Approved,20800000,9600000,Excellent
16,2, Graduate, Yes,500000,1600000,4,663, Approved,2000000,1400000,Good
17,4, Not Graduate, Yes,2900000,9400000,14,780, Approved,11000000,5700000,Excellent
18,2, Graduate, No,2700000,10300000,10,736, Approved,9500000,1000000,Good
19,5, Graduate, No,6300000,14600000,12,652, Approved,29400000,13800000,Good
20,2, Graduate, No,5000000,19400000,12,315, Rejected,24100000,11100000,Poor
21,4, Graduate, No,5800000,14000000,16,530, Rejected,27600000,15100000,Poor
22,4, Graduate, Yes,6500000,25700000,18,311, Rejected,28000000,14800000,Poor
23,0, Not Graduate, Yes,500000,1400000,2,551, Approved,1400000,1500000,Fair
24,0, Not Graduate, No,4900000,9800000,16,324, Rejected,13300000,12500000,Poor
25,5, Not Graduate, No,3100000,9500000,20,514, Rejected,9200000,11000000,Poor
26,4, Graduate, No,8200000,28100000,12,696, Approved,32500000,22100000,Good
27,4, Not Graduate, Yes,2400000,5600000,4,662, Approved,7900000,8700000,Good
28,5, Not Graduate, Yes,7000000,24000000,6,336, Rejected,37200000,14200000,Poor
29,3, Not Graduate, Yes,9000000,31500000,10,850, Approved,41700000,34200000,Excellent
30,2, Not Graduate, No,9800000,25300000,12,313, Rejected,34800000,25400000,Poor
31,2, Graduate, No,5700000,12000000,6,363, Rejected,26000000,11000000,Poor
32,1, Not Graduate, Yes,800000,1600000,10,436, Rejected,3200000,900000,Poor
33,5, Not Graduate, Yes,8400000,22000000,2,830, Approved,25300000,7700000,Excellent
34,3, Graduate, No,4900000,11900000,8,612, Approved,24800000,10900000,Fair
35,2, Graduate, Yes,1700000,3400000,8,691, Approved,6900000,5500000,Good
36,3, Not Graduate, No,1600000,6200000,18,636, Approved,6700000,4100000,Fair
37,5, Graduate, Yes,8000000,27200000,6,348, Rejected,23800000,6700000,Poor
38,5, Graduate, No,3600000,7700000,16,830, Approved,12900000,8300000,Excellent
39,3, Not Graduate, Yes,1500000,5100000,6,352, Rejected,6500000,300000,Poor
40,1, Graduate, No,7800000,18100000,2,712, Approved,30700000,19800000,Good
41,2, Not Graduate, No,9100000,24900000,16,822, Approved,36200000,34400000,Excellent
42,3, Graduate, No,1400000,3400000,6,540, Rejected,4700000,1700000,Poor
43,2, Graduate, Yes,800000,2300000,12,342, Rejected,2600000,3500000,Poor
44,5, Graduate, No,6500000,13400000,18,787, Approved,21600000,18500000,Excellent
45,4, Graduate, No,8000000,27800000,16,331, Rejected,32300000,19300000,Poor
46,3, Not Graduate, Yes,4200000,14600000,6,679, Approved,13600000,9300000,Good
47,1, Graduate, Yes,4900000,19100000,14,677, Approved,24200000,14500000,Good
48,3, Not Graduate, No,5500000,20500000,12,634, Approved,26700000,9400000,Fair
49,1, Not Graduate, Yes,9500000,19100000,16,662, Approved,49400000,10600000,Good
50,4, Graduate, No,7300000,25400000,16,502, Rejected,31000000,2300000,Poor
51,2, Graduate, No,8700000,24700000,10,435, Rejected,33100000,10300000,Poor
52,5, Not Graduate, No,3800000,7600000,4,689, Approved,12700000,8800000,Good
53,1, Not Graduate, Yes,8400000,23000000,12,657, Approved,40100000,30200000,Good
54,2, Graduate, Yes,5100000,19700000,20,590, Approved,22800000,16700000,Fair
55,5, Not Graduate, No,6700000,24500000,12,818, Approved,22500000,6800000,Excellent
56,2, Not Graduate, No,4300000,10600000,18,431, Rejected,14500000,3600000,Poor
57,5, Graduate, Yes,9300000,30500000,18,841, Approved,43300000,29600000,Excellent
58,1, Graduate, No,7400000,18400000,20,421, Rejected,21600000,27600000,Poor
59,4, Not Graduate, Yes,5500000,18200000,16,797, Approved,23400000,4800000,Excellent
