 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets,loan_to_income_ratio,assets_to_loan_ratio, cibil_category
2, Graduate, No,9600000,29900000,12,778, Approved,30700000,20000000,3.1145833333333335,1.6956521739130435,Excellent
0, Not Graduate, Yes,4100000,12200000,8,417, Rejected,12100000,4900000,2.975609756097561,1.3934426229508197,Poor
3, Graduate, No,9100000,29700000,20,506, Rejected,46100000,11600000,3.2637362637362637,1.9427609427609427,Poor
3, Graduate, No,8200000,30700000,8,467, Rejected,31200000,21500000,3.7439024390243905,1.716612377850163,Poor
5, Not Graduate, Yes,9800000,24200000,20,382, Rejected,34400000,20600000,2.4693877551020407,2.272727272727273,Poor
0, Graduate, Yes,4800000,13500000,10,319, Rejected,18800000,15100000,2.8125,2.511111111111111,Poor
5, Graduate, No,8700000,33000000,4,678, Approved,33500000,37300000,3.793103448275862,2.1454545454545455,Good
2, Graduate, Yes,5700000,15000000,20,382, Rejected,17800000,18900000,2.6315789473684212,2.4466666666666668,Poor
0, Graduate, Yes,800000,2200000,20,782, Approved,3400000,2100000,2.75,2.5,Excellent
5, Not Graduate, No,1100000,4300000,10,388, Rejected,4900000,4600000,3.909090909090909,2.2093023255813953,Poor
4, Graduate, Yes,2900000,11200000,2,547, Approved,12600000,12800000,3.8620689655172415,2.267857142857143,Poor
2, Not Graduate, Yes,6700000,22700000,18,538, Rejected,26800000,21100000,3.388059701492537,2.1101321585903086,Poor
3, Not Graduate, Yes,5000000,11600000,16,311, Rejected,18900000,16000000,2.32,3.0086206896551726,Poor
2, Graduate, Yes,9100000,31500000,14,679, Approved,25900000,27400000,3.4615384615384617,1.692063492063492,Good
1, Not Graduate, No,1900000,7400000,6,469, Rejected,7800000,3100000,3.8947368421052633,1.472972972972973,Poor
5, Not Graduate, No,4700000,10700000,10,794, Approved,20800000,9600000,2.276595744680851,2.8411214953271027,Excellent
2, Graduate, Yes,500000,1600000,4,663, Approved,2000000,1400000,3.2,2.125,Good
4, Not Graduate, Yes,2900000,9400000,14,780, Approved,11000000,5700000,3.2413793103448274,1.7765957446808511,Excellent
2, Graduate, No,2700000,10300000,10,736, Approved,9500000,1000000,3.814814814814815,1.0194174757281553,Good
5, Graduate, No,6300000,14600000,12,652, Approved,29400000,13800000,2.3174603174603177,2.958904109589041,Good
2, Graduate, No,5000000,19400000,12,315, Rejected,24100000,11100000,3.88,1.8144329896907216,Poor
4, Graduate, No,5800000,14000000,16,530, Rejected,27600000,15100000,2.413793103448276,3.05,Poor
4, Graduate, Yes,6500000,25700000,18,311, Rejected,28000000,14800000,3.953846153846154,1.6653696498054475,Poor
0, Not Graduate, Yes,500000,1400000,2,551, Approved,1400000,1500000,2.8,2.0714285714285716,Fair
0, Not Graduate, No,4900000,9800000,16,324, Rejected,13300000,12500000,2.0,2.63265306122449,Poor
5, Not Graduate, No,3100000,9500000,20,514, Rejected,9200000,11000000,3.064516129032258,2.126315789473684,Poor
4, Graduate, No,8200000,28100000,12,696, Approved,32500000,22100000,3.426829268292683,1.9430604982206405,Good
4, Not Graduate, Yes,2400000,5600000,4,662, Approved,7900000,8700000,2.3333333333333335,2.9642857142857144,Good
5, Not Graduate, Yes,7000000,24000000,6,336, Rejected,37200000,14200000,3.4285714285714284,2.1416666666666666,Poor
3, Not Graduate, Yes,9000000,31500000,10,850, Approved,41700000,34200000,3.5,2.4095238095238094,Excellent
2, Not Graduate, No,9800000,25300000,12,313, Rejected,34800000,25400000,2.5816326530612246,2.3794466403162056,Poor
2, Graduate, No,5700000,12000000,6,363, Rejected,26000000,11000000,2.1052631578947367,3.0833333333333335,Poor
1, Not Graduate, Yes,800000,1600000,10,436, Rejected,3200000,900000,2.0,2.5625,Poor
5, Not Graduate, Yes,8400000,22000000,2,830, Approved,25300000,7700000,2.619047619047619,1.5,Excellent
3, Graduate, No,4900000,11900000,8,612, Approved,24800000,10900000,2.4285714285714284,3.0,Fair
2, Graduate, Yes,1700000,3400000,8,691, Approved,6900000,5500000,2.0,3.6470588235294117,Good
3, Not Graduate, No,1600000,6200000,18,636, Approved,6700000,4100000,3.875,1.7419354838709677,Fair
5, Graduate, Yes,8000000,27200000,6,348, Rejected,23800000,6700000,3.4,1.1213235294117647,Poor
5, Graduate, No,3600000,7700000,16,830, Approved,12900000,8300000,2.138888888888889,2.7532467532467533,Excellent
3, Not Graduate, Yes,1500000,5100000,6,352, Rejected,6500000,300000,3.4,1.3333333333333333,Poor
1, Graduate, No,7800000,18100000,2,712, Approved,30700000,19800000,2.3205128205128207,2.7900552486187844,Good
2, Not Graduate, No,9100000,24900000,16,822, Approved,36200000,34400000,2.7362637362637363,2.8353413654618476,Excellent
3, Graduate, No,1400000,3400000,6,540, Rejected,4700000,1700000,2.4285714285714284,1.8823529411764706,Poor
2, Graduate, Yes,800000,2300000,12,342, Rejected,2600000,3500000,2.875,2.652173913043478,Poor
5, Graduate, No,6500000,13400000,18,787, Approved,21600000,18500000,2.0615384615384613,2.9925373134328357,Excellent
4, Graduate, No,8000000,27800000,16,331, Rejected,32300000,19300000,3.475,1.856115107913669,Poor
3, Not Graduate, Yes,4200000,14600000,6,679, Approved,13600000,9300000,3.4761904761904763,1.5684931506849316,Good
1, Graduate, Yes,4900000,19100000,14,677, Approved,24200000,14500000,3.8979591836734695,2.026178010471204,Good
3, Not Graduate, No,5500000,20500000,12,634, Approved,26700000,9400000,3.727272727272727,1.7609756097560976,Fair
1, Not Graduate, Yes,9500000,19100000,16,662, Approved,49400000,10600000,2.0105263157894737,3.141361256544503,Good
4, Graduate, No,7300000,25400000,16,502, Rejected,31000000,2300000,3.4794520547945207,1.311023622047244,Poor
2, Graduate, No,8700000,24700000,10,435, Rejected,33100000,10300000,2.839080459770115,1.757085020242915,Poor
5, Not Graduate, No,3800000,7600000,4,689, Approved,12700000,8800000,2.0,2.8289473684210527,Good
1, Not Graduate, Yes,8400000,23000000,12,657, Approved,40100000,30200000,2.738095238095238,3.0565217391304347,Good
2, Graduate, Yes,5100000,19700000,20,590, Approved,22800000,16700000,3.8627450980392157,2.00507614213198,Fair
5, Not Graduate, No,6700000,24500000,12,818, Approved,22500000,6800000,3.656716417910448,1.1959183673469387,Excellent
2, Not Graduate, No,4300000,10600000,18,431, Rejected,14500000,3600000,2.4651162790697674,1.7075471698113207,Poor
5, Graduate, Yes,9300000,30500000,18,841, Approved,43300000,29600000,3.2795698924731185,2.3901639344262295,Excellent
1, Graduate, No,7400000,18400000,20,421, Rejected,21600000,27600000,2.4864864864864864,2.6739130434782608,Poor
4, Not Graduate, Yes,5500000,18200000,16,797, Approved,23400000,4800000,3.309090909090909,1.5494505494505495,Excellent
2, Not Graduate, No,8500000,18900000,18,478, Rejected,37300000,40100000,2.223529411764706,4.095238095238095,Poor
